,,
mlflow/mlflow,4,1.65
jupyterhub/jupyterhub,3,0.76
apache/dubbo,3,0.76
kubernetes-sigs/kustomize,2,-0.13
rematch/rematch,1,-1.02
Rapptz/discord.py,1,-1.02
MithrilJS/mithril.js,1,-1.02
,,
TypeStrong/ts-node,29,2.42
kubernetes-sigs/kustomize,28,2.31
apache/dubbo,25,1.96
mlflow/mlflow,24,1.84
MithrilJS/mithril.js,14,0.69
jupyterhub/jupyterhub,13,0.57
varvet/pundit,11,0.34
fantasyland/fantasy-land,8,-0.01
summernote/summernote,7,-0.12
grpc/grpc-web,7,-0.12
Project-OSRM/osrm-backend,6,-0.24
chaijs/chai,5,-0.36
nytimes/NYTPhotoViewer,5,-0.36
deployphp/deployer,4,-0.47
casesandberg/react-color,4,-0.47
BurntSushi/toml,3,-0.59
redis/redis-rb,3,-0.59
Rapptz/discord.py,3,-0.59
rematch/rematch,2,-0.7
tristanhimmelman/ObjectMapper,2,-0.7
App-vNext/Polly,2,-0.7
MagicStack/uvloop,1,-0.82
rauchg/slackin,1,-0.82
iron/iron,1,-0.82
transitive-bullshit/create-react-library,1,-0.82
jonschlinkert/remarkable,1,-0.82
,,
App-vNext/Polly,132,3.97
kubernetes-sigs/kustomize,62,1.53
chaijs/chai,52,1.18
Project-OSRM/osrm-backend,43,0.87
jupyterhub/jupyterhub,42,0.83
TypeStrong/ts-node,31,0.45
apache/dubbo,22,0.14
MithrilJS/mithril.js,22,0.14
rematch/rematch,16,-0.07
grpc/grpc-web,7,-0.39
nytimes/NYTPhotoViewer,6,-0.42
tiny-dnn/tiny-dnn,6,-0.42
imbrn/v8n,4,-0.49
BurntSushi/toml,3,-0.53
summernote/summernote,3,-0.53
mlflow/mlflow,3,-0.53
meliorence/react-native-snap-carousel,2,-0.56
redis/redis-rb,2,-0.56
MagicStack/uvloop,2,-0.56
Activiti/Activiti,2,-0.56
iron/iron,2,-0.56
Rapptz/discord.py,2,-0.56
duo-labs/cloudmapper,2,-0.56
deployphp/deployer,1,-0.6
casesandberg/react-color,1,-0.6
jhen0409/react-native-debugger,1,-0.6
,,
apache/dubbo,40,4.43
kubernetes-sigs/kustomize,10,0.72
mlflow/mlflow,6,0.23
App-vNext/Polly,5,0.11
rematch/rematch,3,-0.14
jupyterhub/jupyterhub,3,-0.14
Rapptz/discord.py,3,-0.14
chaijs/chai,2,-0.26
duo-labs/cloudmapper,2,-0.26
MithrilJS/mithril.js,2,-0.26
Flipboard/bottomsheet,2,-0.26
grpc/grpc-web,2,-0.26
Project-OSRM/osrm-backend,2,-0.26
BurntSushi/toml,1,-0.39
ag-grid/ag-grid,1,-0.39
MagicStack/uvloop,1,-0.39
Activiti/Activiti,1,-0.39
nytimes/NYTPhotoViewer,1,-0.39
deployphp/deployer,1,-0.39
casesandberg/react-color,1,-0.39
jonschlinkert/remarkable,1,-0.39
shadowsocks/shadowsocks-manager,1,-0.39
,,
mlflow/mlflow,11,2.52
Project-OSRM/osrm-backend,9,1.85
kubernetes-sigs/kustomize,6,0.85
apache/dubbo,4,0.18
Activiti/Activiti,4,0.18
MithrilJS/mithril.js,4,0.18
redis/redis-rb,3,-0.16
tiny-dnn/tiny-dnn,3,-0.16
chaijs/chai,2,-0.49
pagekit/pagekit,1,-0.83
summernote/summernote,1,-0.83
tensorpack/tensorpack,1,-0.83
deployphp/deployer,1,-0.83
ptomasroos/react-native-scrollable-tab-view,1,-0.83
varvet/pundit,1,-0.83
,,
kubernetes-sigs/kustomize,13,2.07
TypeStrong/ts-node,13,2.07
MithrilJS/mithril.js,13,2.07
jupyterhub/jupyterhub,12,1.82
apache/dubbo,7,0.57
App-vNext/Polly,7,0.57
mlflow/mlflow,7,0.57
rematch/rematch,6,0.32
grpc/grpc-web,5,0.07
chaijs/chai,4,-0.18
iron/iron,4,-0.18
ptomasroos/react-native-scrollable-tab-view,4,-0.18
Project-OSRM/osrm-backend,4,-0.18
BurntSushi/toml,3,-0.43
summernote/summernote,2,-0.68
MagicStack/uvloop,2,-0.68
deployphp/deployer,2,-0.68
Rapptz/discord.py,2,-0.68
varvet/pundit,2,-0.68
redis/redis-rb,1,-0.93
rauchg/slackin,1,-0.93
imbrn/v8n,1,-0.93
marko-js/marko,1,-0.93
nytimes/NYTPhotoViewer,1,-0.93
tiny-dnn/tiny-dnn,1,-0.93
,,
Rapptz/discord.py,17,3.57
metafizzy/flickity,7,1.05
kubernetes-sigs/kustomize,4,0.3
tensorpack/tensorpack,2,-0.2
MithrilJS/mithril.js,2,-0.2
mlflow/mlflow,2,-0.2
jhen0409/react-native-debugger,2,-0.2
jupyterhub/jupyterhub,1,-0.46
pagekit/pagekit,1,-0.46
chaijs/chai,1,-0.46
mgonto/restangular,1,-0.46
rlidwka/sinopia,1,-0.46
TypeStrong/ts-node,1,-0.46
nytimes/NYTPhotoViewer,1,-0.46
cglib/cglib,1,-0.46
Project-OSRM/osrm-backend,1,-0.46
,,
apache/dubbo,5,2.12
mlflow/mlflow,3,0.71
MithrilJS/mithril.js,2,0
jupyterhub/jupyterhub,1,-0.71
TypeStrong/ts-node,1,-0.71
App-vNext/Polly,1,-0.71
imbrn/v8n,1,-0.71
,,
apache/dubbo,34,3.77
Project-OSRM/osrm-backend,12,0.89
chaijs/chai,8,0.36
summernote/summernote,8,0.36
mlflow/mlflow,6,0.1
jupyterhub/jupyterhub,5,-0.03
kubernetes-sigs/kustomize,4,-0.16
MithrilJS/mithril.js,4,-0.16
App-vNext/Polly,3,-0.29
tristanhimmelman/ObjectMapper,2,-0.42
rauchg/slackin,1,-0.55
Activiti/Activiti,1,-0.55
TypeStrong/ts-node,1,-0.55
deployphp/deployer,1,-0.55
SwipeCellKit/SwipeCellKit,1,-0.55
varvet/pundit,1,-0.55
grpc/grpc-web,1,-0.55
jhen0409/react-native-debugger,1,-0.55
